journal_id,name,publisher,website,p_issn,e_issn,subject_area,accreditation,scopus_indexed,garuda_indexed,Impact,H5-index,Citations 5yr,Citations
671,Jurnal Pendidikan IPA Indonesia (Indonesian Journal of Science Education),"Science Education Study Program, Faculty of Mathematics and Natural Sciences, Universitas Negeri Semarang",https://journal.unnes.ac.id/journals/jpii,23391286,20894392,Education,S1Accredited,True,True,"104,00",62,14.902,21.846
693,International Journal of Electrical and Computer Engineering,Institute of Advanced Engineering and Science,http://ijece.iaescore.com/index.php/IJECE,20888708,27222578,"Science, Engineering",S1Accredited,True,True,"26,00",60,31.624,50.297
4154,Jurnal Ilmiah Ilmu Terapan Universitas Jambi,LPPM Universitas Jambi,https://online-journal.unja.ac.id/index.php/JIITUJ/issue/archive,25802240,25802259,Education,S1Accredited,True,True,"25,00",16,1.431,1.512
963,Jurnal Ilmiah Islam Futura,Center for Research and Community Service (LP2M) in cooperation with the Graduate Program of State Islamic University (UIN) Ar-Raniry Banda Aceh,https://jurnal.ar-raniry.ac.id/index.php/islamfutura,24077542,24077542,"Humanities, Art, Religion",S1Accredited,True,True,"24,00",31,4.462,5.251
4882,Nazhruna: Jurnal Pendidikan Islam,Universitas KH. Abdul Chalim,http://e-journal.ikhac.ac.id/index.php/NAZHRUNA,26148013,26148013,,S1Accredited,True,True,"16,53",45,7.603,7.979
760,Jurnal Pendidikan Islam,"The Faculty of Tarbiya and Teacher Training, Universitas Islam Negeri Sunan Gunung Djati Bandung Associated with Persatuan Sarjana Pendidikan Islam Indonesia (PSPII)",http://journal.uinsgd.ac.id/index.php/jpi,23554339,24608149,Education,S1Accredited,True,True,"16,44",37,5.767,6.540
8190,APTISI Transactions on Technopreneurship,Pandawan Sejahtera Indonesia,https://att.aptisi.or.id/index.php/att,26558807,26568888,,S1Accredited,True,True,"15,66",45,6.162,6.282
9792,Journal of Islamic Law (JIL),Institut Agama Islam Negeri Pontianak,http://e-journal.iainptk.ac.id/index.php/jil/index,27215032,27215040,"Religion, Economy, Humanities, Social",S1Accredited,True,True,"14,81",22,1.216,1.238
1038,Jurnal Ilmiah Peuradeun,SCAD Independent,https://journal.scadindependent.org/index.php/jipeuradeun,23388617,24432067,"Humanities, Art, Social",S1Accredited,True,True,"13,81",30,5.063,6.904
4748,SAMARAH: Jurnal Hukum Keluarga dan Hukum Islam,"Islamic Family Law Department, Sharia and Law Faculty, Universitas Islam Negeri Ar-Raniry, Banda Aceh, Indonesia",https://jurnal.ar-raniry.ac.id/index.php/samarah/index,25473132,25493167,,S1Accredited,True,True,"13,37",35,5.841,5.990
4081,JURIS (Jurnal Ilmiah Syariah),Universitas Islam Negeri Mahmud Yunus Batusangkar,https://ejournal.uinmybatusangkar.ac.id/ojs/index.php/Juris,14126109,25802763,"Economy, Education, Social",S1Accredited,True,True,"13,00",32,3.744,4.041
6367,Volksgeist: Jurnal Ilmu Hukum dan Konstitusi,Fakultas Syariah UIN Profesor Kiai Haji Saifuddin Zuhri Purwokerto,http://ejournal.uinsaizu.ac.id/index.php/volksgeist/issue/archive,2615174X,26155648,,S1Accredited,True,True,"12,31",22,2.163,2.258
10841,JHCLS,Lembaga Contrarius Institute,https://www.jhcls.org/index.php/JHCLS,28072979,28072812,"Health, Social",S1Accredited,True,True,"12,27",27,2.210,2.226
661,Journal of Indonesian Islam,Universitas Islam Negeri Sunan Ampel,https://jiis.uinsa.ac.id/index.php/JIIs/index,19786301,23556994,"Religion, Humanities, Education, Art, Social",S1Accredited,True,True,"12,06",33,4.745,5.421
665,Gadjah Mada International Journal of Business,"Magister Manajemen, Fakultas Ekonomika dan Bisnis, Universitas Gadjah Mada",https://jurnal.ugm.ac.id/gamaijb/index,14111128,23387238,Economy,S1Accredited,True,True,"11,86",74,21.779,36.213
4119,PEDAGOGIK : JURNAL PENDIDIKAN,Fakultas Agama Islam Universitas Nurul Jadid,https://ejournal.unuja.ac.id/index.php/pedagogik/index,23547960,25285793,Education,S1Accredited,False,True,"11,64",29,3.556,4.285
4607,Legality : Jurnal Ilmiah Hukum,Fakultas Hukum Universitas Muhammadiyah Malang,http://ejournal.umm.ac.id/index.php/legality,08546509,25494600,,S1Accredited,True,True,"10,93",29,2.922,3.259
6905,Indonesian Journal of Halal Research,Halal Center UIN Sunan Gunung Djati Bandung,https://journal.uinsgd.ac.id/index.php/ijhar/index,26563754,26570165,,S1Accredited,True,True,"10,63",17,1.011,1.055
2113,Journal on Mathematics Education,Fakultas Keguruan dan Ilmu Pendidikan  Universitas Sriwijaya,https://jme.ejournal.unsri.ac.id/index.php/jme,24070610,24070610,,S1Accredited,True,True,"10,60",62,13.139,16.974
890,Jurnal Akuntansi dan Keuangan,Universitas Kristen Petra Surabaya,https://jurnalakuntansi.petra.ac.id,14110288,23388137,Economy,S1Accredited,False,True,"10,54",54,11.821,26.804
7487,El-Usrah : Jurnal Hukum Keluarga,Universitas Islam Negeri Ar-Raniry Banda Aceh,https://jurnal.ar-raniry.ac.id/index.php/usrah,|,26208083,,S1Accredited,True,True,"10,43",22,1.898,1.922
26,Millah: Journal of Religious Studies,Universitas Islam Indonesia,http://journal.uii.ac.id/Millah,14120992,2527922X,"Humanities, Art, Religion",S1Accredited,True,True,"10,35",26,3.155,3.910
946,Hasanuddin Law Review,Fakultas Hukum Universitas Hassanudin,http://pasca.unhas.ac.id/ojs/index.php/halrev,|,24429899,,S1Accredited,True,True,"9,89",18,1.678,2.032
1722,Jurnal Infinity,Institut Keguruan dan Ilmu Pendidikan Siliwangi,http://e-journal.stkipsiliwangi.ac.id/index.php/infinity,24609285,24609285,Education,S1Accredited,False,True,"9,45",38,6.163,8.419
697,Indonesian Journal of Electrical Engineering and Computer Science,Institute of Advanced Engineering and Science (IAES),http://ijeecs.iaescore.com,25024752,25024760,"Science, Engineering",S1Accredited,True,True,"8,40",65,31.181,37.250
